Band,Count,Concerts
Polyphia,1,"         Date                 Bands   City     Venue
0  27/05/2023  Polyphia;Johan Lenox  Paris  Bataclan"
Polaris,1,"         Date                                     Bands  City       Venue
0  14/03/2024  Polaris;Silent Planet;Thornhill;Paledusk  Lyon  La Rayonne"
Point Mort,1,"         Date                                              Bands                City              Venue
0  05/07/2024  Drive North;Blackrain;Beast In Black;Point Mor...  Colombier-Saugnieu  Plane'R Fest 2024"
Resolve,1,"         Date                           Bands  City            Venue
0  14/05/2023  While She Sleeps;Resolve;Ashen  Lyon  Ninkasi Gerland"
Mirage,1,"         Date                   Bands  City        Venue
0  10/11/2023  Novelists;Ashen;Mirage  Lyon  MJC O Totem"
Pastors Of Muppets,1,"         Date                                              Bands                       City                Venue
0  02/08/2019  Pastors Of Muppets;Mudweiser;In Other Climes;G...  Saint-Maurice-De-Gourdans  Sylak Open Air 2019"
Parkway Drive,1,"         Date                                              Bands     City          Venue
0  15/06/2023  Hypno5e;Coheed And Cambria;I Prevail;In Flames...  Clisson  Hellfest 2023"
Rise Of The Northstar,1,"         Date                                              Bands                City              Venue
0  06/07/2024  Bakü;Animalize;Ashen;Hanabie.;Smash Hit Combo;...  Colombier-Saugnieu  Plane'R Fest 2024"
Misery Index,1,"         Date                                              Bands                       City                Venue
0  07/08/2022  Dukkha;Heart Attack;Moscow Death Brigade;Hangm...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022"
Mudweiser,1,"         Date                                              Bands                       City                Venue
0  02/08/2019  Pastors Of Muppets;Mudweiser;In Other Climes;G...  Saint-Maurice-De-Gourdans  Sylak Open Air 2019"
Papa Roach,1,"         Date                                              Bands     City          Venue
0  16/06/2023  Vended;P-Troll;Escape The Fate;Helms Alee;Unea...  Clisson  Hellfest 2023"
Mötley Crüe,1,"         Date                                              Bands     City          Venue
0  16/06/2023  Vended;P-Troll;Escape The Fate;Helms Alee;Unea...  Clisson  Hellfest 2023"
Rivers Of Nihil,1,"         Date                                              Bands   City                  Venue
0  02/12/2022  Rivers Of Nihil;Allegaeon;Fallujah;Harbinger;I...  Paris  Backstage By The Mill"
Napalm Death,1,"         Date                                              Bands                       City                Venue
0  06/08/2022  Deathawaits;Benighted;Nervosa;Unearth;Bombers;...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022"
Nashville Pussy,1,"         Date                                              Bands                       City                Venue
0  05/08/2023  Buy Jupiter;Beyond The Styx;The Real McKenzies...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
Moscow Death Brigade,1,"         Date                                              Bands                       City                Venue
0  07/08/2022  Dukkha;Heart Attack;Moscow Death Brigade;Hangm...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022"
Ne Obliviscaris,1,"         Date                                  Bands   City          Venue
0  21/05/2023  Ne Obliviscaris;Persefone;The Omnific  Paris  Le Petit Bain"
Moonspell,1,"         Date                                              Bands                       City                Venue
0  05/08/2023  Buy Jupiter;Beyond The Styx;The Real McKenzies...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
Nervosa,1,"         Date                                              Bands                       City                Venue
0  06/08/2022  Deathawaits;Benighted;Nervosa;Unearth;Bombers;...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022"
Monuments,1,"         Date                       Bands   City         Venue
0  12/02/2023  Leprous;Monuments;Kalandra  Paris  Salle Pleyel"
Pantera,1,"         Date                                              Bands     City          Venue
0  18/06/2023  Slipknot;Pantera;Tenacious D;Amon Amarth;Incub...  Clisson  Hellfest 2023"
Nostromo,1,"         Date                                              Bands                       City                Venue
0  04/08/2019  Lodz;Insanity Alert;Nostromo;Ihsahn;Sick Of It...  Saint-Maurice-De-Gourdans  Sylak Open Air 2019"
Monkey3,1,"         Date                                              Bands                       City                Venue
0  03/08/2019  Yoda Rising;Hate;Monkey3;Eyehategod;Soilwork;D...  Saint-Maurice-De-Gourdans  Sylak Open Air 2019"
Obituary,1,"         Date                                           Bands  City            Venue
0  08/02/2023  Trivium;Heaven Shall Burn;Malevolence;Obituary  Lyon  Le Transbordeur"
